gen_id,Mars_bakim_x1.5_marj,Mars_bakim_x2.0_marj,Mars_bakim_x3.0_marj,Referans_kisitsiz,kac_mars_senaryosunda
MMSYN1_0227,True,True,True,False,3
MMSYN1_0228,True,True,True,False,3
MMSYN1_0229,True,True,True,False,3
MMSYN1_0230,True,True,True,False,3
